Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31,No,Non-Travel,158,Software,7,3,Medical,1,1,3,Male,42,2,3,Developer,1,Married,42682,298774,2,Y,No,20,4,1,80,2,15,1,2,12,4,10,11
38,No,Travel_Rarely,985,Human Resources,33,5,Life Sciences,1,2,1,Female,66,2,4,Healthcare Representative,3,Single,45252,45252,8,Y,No,2,1,3,80,4,5,4,3,1,1,1,1
59,Yes,Non-Travel,1273,Sales,5,2,Technical Degree,1,3,4,Female,96,1,3,Manufacturing Director,2,Married,46149,507639,7,Y,Yes,39,3,2,80,2,9,5,1,6,6,4,3
52,Yes,Travel_Rarely,480,Support,2,5,Marketing,1,4,4,Female,71,2,4,Human Resources,1,Married,27150,27150,4,Y,No,16,3,2,80,2,22,4,4,10,9,5,6
32,No,Non-Travel,543,Human Resources,7,5,Human Resources,1,5,2,Male,122,3,3,Manager,2,Divorced,15894,47682,6,Y,Yes,42,3,4,80,2,30,3,4,29,27,9,7
19,Yes,Non-Travel,779,Hardware,43,1,Medical,1,6,2,Female,195,4,3,Research Director,3,Married,41552,1246560,3,Y,Yes,15,4,3,80,1,33,4,2,16,4,14,3
42,Yes,Non-Travel,934,Support,26,4,Human Resources,1,7,2,Female,80,3,5,Sales Executive,4,Divorced,5303,148484,3,Y,No,45,4,1,80,1,4,3,4,2,1,1,2
30,No,Travel_Rarely,380,Support,19,3,Marketing,1,8,4,Male,165,1,4,Human Resources,4,Single,28555,571100,2,Y,Yes,35,3,2,80,1,2,2,2,2,2,2,2
41,No,Travel_Frequently,1464,Software,16,1,Life Sciences,1,9,3,Male,134,1,2,Manager,4,Divorced,3241,87507,7,Y,No,1,1,3,80,2,8,1,2,2,1,2,2
45,No,Travel_Frequently,1020,Human Resources,17,5,Life Sciences,1,10,4,Female,137,2,4,Manager,2,Married,4323,116721,4,Y,Yes,32,1,3,80,4,6,4,4,5,3,4,1
36,No,Travel_Rarely,987,Sales,33,4,Other,1,11,3,Male,159,3,1,Human Resources,3,Married,10587,95283,0,Y,Yes,47,4,2,80,1,38,3,4,24,19,8,6
23,No,Travel_Frequently,135,Human Resources,20,4,Life Sciences,1,12,2,Female,51,2,2,Manufacturing Director,2,Divorced,7446,141474,8,Y,Yes,44,1,2,80,4,16,5,3,8,6,7,6
24,Yes,Non-Travel,1086,Support,15,1,Marketing,1,13,4,Female,189,3,1,Manufacturing Director,4,Married,34153,648907,7,Y,No,17,1,3,80,1,30,2,2,15,3,8,4
39,Yes,Non-Travel,673,Research & Development,16,2,Human Resources,1,14,2,Female,69,4,2,Sales Executive,2,Married,47844,382752,1,Y,No,47,1,4,80,1,14,4,2,13,9,11,5
42,Yes,Travel_Rarely,145,Human Resources,31,3,Life Sciences,1,15,3,Male,127,3,1,Developer,4,Married,21432,21432,4,Y,Yes,48,2,1,80,4,2,6,2,1,1,1,1
44,Yes,Travel_Frequently,717,Software,10,2,Human Resources,1,16,3,Female,151,1,5,Sales Representative,4,Divorced,50393,1058253,6,Y,Yes,42,2,1,80,2,27,3,1,27,13,18,18
50,Yes,Travel_Frequently,460,Research & Development,10,4,Human Resources,1,17,4,Male,181,2,5,Manager,3,Divorced,22090,66270,7,Y,No,19,2,1,80,2,14,3,3,5,3,4,5
42,No,Travel_Rarely,1422,Software,26,4,Life Sciences,1,18,4,Female,92,4,5,Developer,3,Single,47968,47968,3,Y,Yes,41,4,2,80,1,5,4,3,4,1,2,3
49,No,Travel_Frequently,129,Research & Development,41,1,Technical Degree,1,19,3,Female,81,2,1,Manager,1,Divorced,24665,98660,0,Y,No,17,2,3,80,4,7,1,3,6,4,3,4
58,Yes,Travel_Rarely,637,Support,5,4,Technical Degree,1,20,2,Female,66,3,5,Manager,2,Married,41084,903848,7,Y,No,46,1,3,80,3,39,6,4,17,3,13,4
42,Yes,Travel_Frequently,699,Software,27,1,Life Sciences,1,21,3,Female,157,3,1,Research Scientist,3,Single,29391,264519,0,Y,Yes,43,3,2,80,3,20,2,3,5,5,3,2
46,Yes,Travel_Frequently,198,Hardware,4,3,Human Resources,1,22,2,Male,162,3,3,Manufacturing Director,3,Single,3835,72865,3,Y,No,33,3,4,80,3,18,3,4,9,5,7,3
34,Yes,Travel_Rarely,212,Support,50,4,Human Resources,1,23,2,Male,44,1,1,Manager,3,Single,30597,152985,3,Y,No,28,4,1,80,1,36,6,1,30,8,11,4
38,No,Travel_Frequently,564,Research & Development,14,2,Life Sciences,1,24,2,Female,71,3,1,Healthcare Representative,1,Single,28296,679104,4,Y,No,44,1,4,80,2,8,4,2,3,2,2,2
22,Yes,Non-Travel,505,Hardware,17,2,Human Resources,1,25,3,Male,44,4,5,Manufacturing Director,4,Divorced,44614,803052,2,Y,No,0,4,2,80,4,15,1,2,6,1,1,2
58,Yes,Travel_Frequently,284,Support,48,3,Human Resources,1,26,2,Female,69,4,3,Human Resources,4,Married,12100,278300,0,Y,No,38,3,2,80,2,22,4,2,1,1,1,1
51,Yes,Travel_Rarely,531,Sales,18,2,Other,1,27,3,Male,146,2,4,Developer,2,Single,31621,758904,2,Y,No,1,4,3,80,1,18,3,3,17,17,4,16
38,No,Non-Travel,1287,Software,34,3,Other,1,28,3,Male,83,1,4,Manufacturing Director,2,Single,6361,25444,0,Y,No,15,3,1,80,4,10,5,1,5,2,5,2
52,Yes,Non-Travel,1047,Software,26,2,Marketing,1,29,1,Female,112,3,2,Developer,2,Divorced,22383,268596,2,Y,No,2,3,4,80,4,9,6,2,1,1,1,1
51,No,Travel_Rarely,345,Support,24,3,Technical Degree,1,30,3,Female,135,4,1,Manager,4,Married,3641,105589,0,Y,Yes,45,1,3,80,1,3,5,3,2,1,2,2
35,No,Travel_Rarely,133,Support,10,2,Other,1,31,3,Male,161,4,5,Research Scientist,2,Married,23302,326228,5,Y,No,15,3,2,80,4,18,4,2,10,9,5,2
56,No,Non-Travel,633,Hardware,10,1,Marketing,1,32,4,Female,47,2,5,Sales Representative,2,Married,8138,179036,7,Y,Yes,6,2,1,80,2,10,5,3,2,1,1,2
26,No,Non-Travel,1390,Software,21,1,Life Sciences,1,33,3,Female,100,4,2,Sales Executive,2,Divorced,35730,1071900,0,Y,Yes,3,4,4,80,4,28,3,3,1,1,1,1
42,No,Travel_Rarely,623,Sales,3,4,Life Sciences,1,34,3,Male,86,3,3,Healthcare Representative,3,Divorced,42788,1026912,5,Y,Yes,4,3,2,80,3,26,3,2,6,1,5,6
48,No,Travel_Frequently,983,Support,25,1,Marketing,1,35,4,Male,111,3,5,Research Scientist,4,Divorced,37974,455688,0,Y,No,26,4,1,80,4,7,5,1,2,1,2,1
40,No,Travel_Rarely,533,Hardware,6,1,Life Sciences,1,36,3,Male,186,4,5,Human Resources,4,Single,10478,293384,1,Y,Yes,32,4,4,80,1,12,3,4,12,8,7,7
24,No,Non-Travel,1274,Human Resources,38,4,Technical Degree,1,37,3,Female,103,3,4,Human Resources,1,Divorced,40937,859677,5,Y,No,48,3,1,80,1,34,2,3,12,4,1,10
22,No,Travel_Frequently,1079,Support,15,1,Other,1,38,3,Female,175,2,1,Sales Representative,1,Divorced,39035,234210,6,Y,No,19,2,2,80,3,23,1,4,6,4,3,4
58,Yes,Non-Travel,1115,Research & Development,1,2,Other,1,39,2,Female,64,3,5,Developer,4,Married,40831,1061606,3,Y,No,3,4,3,80,1,39,2,3,17,14,7,16
30,Yes,Travel_Rarely,435,Research & Development,40,4,Technical Degree,1,40,4,Male,106,1,3,Laboratory Technician,3,Divorced,2198,19782,1,Y,Yes,23,1,4,80,4,9,1,2,4,2,4,1
38,No,Travel_Frequently,1441,Software,33,2,Medical,1,41,2,Male,129,2,2,Human Resources,3,Married,4886,29316,7,Y,No,43,4,2,80,3,3,5,2,1,1,1,1
60,Yes,Travel_Rarely,1277,Research & Development,16,5,Life Sciences,1,42,4,Male,136,3,3,Sales Representative,4,Single,21259,531475,7,Y,No,18,4,3,80,4,34,2,2,7,4,7,4
36,Yes,Non-Travel,735,Hardware,22,5,Marketing,1,43,1,Male,138,1,1,Sales Executive,1,Divorced,38523,847506,4,Y,No,22,2,2,80,3,39,6,4,12,3,4,8
59,Yes,Non-Travel,873,Hardware,26,2,Other,1,44,4,Female,154,2,2,Manager,1,Married,14544,407232,8,Y,No,48,4,3,80,2,30,4,3,23,5,1,17
45,No,Travel_Rarely,111,Support,5,2,Life Sciences,1,45,3,Female,48,1,4,Developer,3,Married,44893,224465,5,Y,No,27,4,1,80,2,18,3,4,17,1,11,15
32,No,Travel_Frequently,633,Software,11,5,Medical,1,46,3,Female,56,1,3,Developer,1,Divorced,24444,24444,7,Y,Yes,22,3,3,80,2,13,5,3,13,11,9,12
56,No,Travel_Frequently,276,Software,45,5,Technical Degree,1,47,3,Male,44,4,2,Sales Executive,3,Single,50248,1406944,7,Y,No,26,3,2,80,3,34,5,1,28,18,20,4
57,No,Travel_Rarely,377,Support,35,4,Medical,1,48,2,Female,98,1,1,Sales Representative,2,Divorced,14164,311608,8,Y,Yes,43,4,1,80,1,35,5,3,24,24,4,23
53,Yes,Non-Travel,1018,Research & Development,20,2,Life Sciences,1,49,1,Female,85,3,4,Healthcare Representative,1,Single,31062,31062,6,Y,Yes,17,4,3,80,1,9,1,1,2,1,2,1
56,No,Travel_Frequently,402,Support,46,3,Marketing,1,50,1,Female,95,4,5,Healthcare Representative,1,Single,38894,972350,1,Y,No,32,4,3,80,3,10,2,1,8,4,5,2
26,Yes,Non-Travel,197,Support,39,5,Human Resources,1,51,4,Female,200,1,2,Laboratory Technician,3,Single,41349,992376,0,Y,No,43,2,3,80,3,9,1,2,3,1,1,3
29,Yes,Travel_Rarely,1148,Software,19,2,Other,1,52,3,Male,57,4,1,Sales Executive,3,Divorced,8574,51444,6,Y,No,5,2,4,80,3,14,3,1,12,5,2,4
32,Yes,Travel_Rarely,775,Software,10,3,Medical,1,53,3,Female,170,1,3,Manager,4,Divorced,1120,7840,4,Y,Yes,6,2,4,80,1,28,5,3,6,6,2,2
23,Yes,Non-Travel,417,Sales,13,2,Marketing,1,54,2,Male,78,4,1,Healthcare Representative,3,Married,21954,153678,6,Y,No,33,4,1,80,4,3,6,2,2,1,2,1
